identifier,typ,redshift,Mag U,Mag B,Mag V,Mag R,Mag I,bib,note,MorphType,RA,Dec,Ang_maj_amin,Ang_min_amin,ang_diam_dist,EstDist_Mpc,length_maj,velocity_km_s,RA_deg,Dec_deg
UGC 10949                          ,G  ,0.02493,~,14.9,~,~,~,10,0,E,38:52.7,+74:50:17.124586909,0.517,0.372,107.0223894,136.5942026,52494.90795,7335.075268,264.7194546,74.83809016
2MASX J17413780+8307592            ,G  ,0.00626,~,15.3,~,~,~,15,0,E,41:37.8,+83:07:59.326579649,0.25,0.23,27.49212387,282.476811,6520.791186,1867.746278,265.4076321,83.13314627
UGC 3431                           ,G  ,0.008112,~,13.6,~,~,~,14,0,E,19:21.8,+76:48:41.814222026,1.243,0.97,35.54479934,56.8135179,41917.86821,2416.914744,94.84068827,76.81161506
2MASX J17242110+5833409            ,G  ,0.02786,~,15.5,~,~,~,13,0,E,24:21.1,+58:33:41.238923712,0.333,0.187,119.1774134,212.0696779,37652.18477,8179.561838,261.0879872,58.56145526
2MASX J17183733+6424512            ,G  ,0.09,~,17.39,16.15,~,15.39,5,1,E,18:37.3,+64:24:51.23,0.173,0.146,357.6737314,408.2034841,58706.35832,25309.20478,259.6555792,64.41423056
IC 1261                            ,G  ,0.046866,~,14.9,~,~,~,13,0,E,23:26.0,+71:15:46.28,1.163,0.349,195.9551026,60.72158447,216216.2267,13572.72348,260.8585208,71.26285556
IC 1261W                           ,G  ,0.04664,~,16,~,~,~,5,0,E,23:20.9,+71:15:51.58,0.69,0.6,195.0627731,102.3466706,127695.466,13509.43338,260.8369792,71.26432778
2MASX J16431359+7442250            ,G  ,0.04127,~,15.1,~,~,~,18,0,E,43:13.6,+74:42:25.01,0.45,0.432,173.7158107,156.9315617,74165.82868,11999.7456,250.8066542,74.70694722
2MASX J16483474+7651200            ,G  ,0.0418,~,16.6,~,~,~,6,0,E,48:34.7,+76:51:20.05,0.253,0.238,175.8350532,279.1272836,42206.36699,12149.24876,252.144775,76.85556944
IC 449                             ,G  ,0.012692,~,13.7,~,~,~,17,0,E,45:41.1,+71:20:37.80,0.89,0.73,55.30260274,79.34741881,46696.84835,3768.452258,101.4211583,71.34383333
2MASX J17121091+6154537            ,G  ,0.01282,~,16,~,~,~,7,0,E,12:11.0,+61:54:53.52,0.213,0.124,55.85160478,331.5455528,11286.70703,3806.091447,258.0456542,61.91486667
2MASX J17022241+6109589            ,G  ,0.02347,~,15.4,~,~,~,10,0,E,02:22.4,+61:09:59.568851260,0.343,0.268,100.9331239,205.8868885,32845.79874,6912.931702,255.5934154,61.1665469
LEDA 59268                         ,G  ,0.0254,~,17.3,~,~,~,7,0,E,55:43.6,+69:01:08,0.25,0.2,108.9780228,282.476811,25848.23689,7470.780375,253.9316667,69.01888889
2MASX J16274851+7357243            ,G  ,0.01816,~,16.5,~,~,~,6,0,E,27:48.5,+73:57:24.33,0.313,0.201,78.60261372,225.6204561,23341.74485,5369.986022,246.95215,73.95675833
2MASX J16292711+7402177            ,G  ,0.01786,~,16.5,~,~,~,7,0,E,29:27.1,+74:02:17.77,0.27,0.194,77.33233411,261.5526028,19809.65332,5282.45426,247.362975,74.03826944
UGC 9874                           ,G  ,0.017946,~,14.6,~,~,~,26,0,E,27:15.1,+77:09:25.13,0.57,0.376,77.69657622,123.8933381,42017.3569,5307.550659,231.8128375,77.15698056
MCG+14-06-015                      ,G  ,0.037183,~,15.7,~,~,~,16,0,E,06:49.3,+82:51:59.832375473,0.44,0.414,157.2818347,160.4981881,65657.33265,10843.1401,196.7052594,82.8666201
NGC 6258                           ,G  ,0.01042,~,14.5,~,~,~,18,0,E,52:29.8,+60:30:52.258697311,0.43,0.378,45.52909573,164.2307041,18574.17242,3099.156355,253.1241268,60.5145163
2MASX J16102099+6750105            ,G  ,0.029767,~,15.1,~,~,~,24,0,E,10:21.0,+67:50:10.319492756,0.427,0.256,127.0420591,165.3845498,51466.82669,8727.283304,242.5874331,67.83619986
2MASX J15595709+6959459            ,G  ,0.0033,~,15.5,~,~,~,8,0,E,59:57.1,+69:59:45.94,0.177,0.163,14.54541557,398.9785466,2442.5946,986.8174282,239.9878833,69.99609444
IC 1154                            ,G  ,0.03811,~,14.8,~,~,~,10,0,E,52:28.6,+70:22:30.52,0.61,0.464,161.023638,115.7691848,93190.46138,11106.06064,238.1191542,70.37514444
2MASX J07083937+6118189            ,G  ,0.025384,~,15.3,~,~,~,16,0,E,08:39.3,+61:18:18.668690568,0.33,0.304,108.9114849,213.9975841,34098.8405,7466.162148,107.1639149,61.30518575
2MASX J06534021+5458256            ,G  ,0.036252,~,15.4,~,~,~,19,0,E,53:40.2,+54:58:25.589346148,0.503,0.433,153.5154002,140.3960293,73260.84549,10578.73861,103.4174618,54.97377482
2MASX J15232053+6941028            ,G  ,0.039941,~,16.6,~,~,~,9,0,E,23:20.7,+69:41:02.664972788,0.343,0.199,168.3897192,205.8868885,54797.61859,11624.37154,230.8361143,69.6840736
Mrk 1398                           ,G  ,0.022512,~,15.7,~,~,~,10,0,E,16:02.6,+69:20:10.245918738,0.243,0.195,96.92576107,290.6140031,22345.88121,6635.448087,229.0108242,69.33617942
2MASX J15075851+7247386            ,G  ,0.2136,~,~,~,~,~,9,0,E,07:58.5,+72:47:38.64,0.12,0.12,739.147739,588.4933562,84152.00952,55830.37958,226.9938042,72.79406667
2MASX J12535724+7724502            ,G  ,0.03475,~,16,~,~,~,8,0,E,53:57.2,+77:24:50.589480202,0.337,0.209,147.4209575,209.5525304,47134.74055,10151.43969,193.488229,77.41405263
2MASX J12224824+7557559            ,G  ,0.0361,~,16.2,~,~,~,7,0,E,22:48.2,+75:57:55.94,0.35,0.196,152.8996631,201.7691507,50772.26816,10535.53797,185.7010208,75.96553889
2MASX J11594627+7633281            ,G  ,0.0453,~,16.7,~,~,~,7,0,E,59:46.3,+76:33:28.16,0.27,0.157,189.7619334,261.5526028,48609.91405,13133.76716,179.9428083,76.55782222
2MASX J08200515+6726102            ,G  ,0.027466,~,17.5,~,~,~,9,0,E,20:05.1,+67:26:09.961799457,0.56,0.28,117.5479622,126.1057192,62453.26157,8066.210965,125.0211956,67.4361005
UGC 4001                           ,G  ,0.0195,~,14.6,~,~,~,9,0,E,46:24.9,+62:29:09.420552744,0.707,0.438,84.26516735,99.88571817,56522.2568,5760.489223,116.6037905,62.48595015
MCG+10-23-039                      ,G  ,0.03181,~,15.3,~,~,~,13,0,E,11:45.3,+60:09:52.71,0.473,0.341,135.4271699,149.3006401,60774.15598,9312.404834,242.9388583,60.16464167
2MASX J15193013+6730165            ,G  ,0.04162,~,15.1,~,~,~,21,0,E,19:30.1,+67:30:16.59,0.493,0.316,175.1156158,143.243819,81907.52203,12098.48652,229.8755792,67.50460833
MCG+13-09-031                      ,G  ,0.03155,~,16,~,~,~,11,0,E,45:38.2,+74:28:53.50,0.43,0.327,134.3623621,164.2307041,54814.83084,9238.035028,191.4092542,74.48152778
NGC 2810                           ,G  ,0.011771,~,13.4,~,~,~,42,1,E,22:04.5,+71:50:38,0.95,0.836,51.34727926,74.33600289,46279.96632,3497.414221,140.51875,71.84388889
2MASX J08215709+6631528            ,G  ,0.037,~,15.5,~,~,~,11,0,E,21:57.1,+66:31:52.80,0.52,0.354,156.5421658,135.8061591,77230.11368,10791.19605,125.4878917,66.53133333
UGC 4322                           ,G  ,0.02456,~,15,~,~,~,23,0,E,20:01.7,+62:49:50.449861514,0.727,0.538,105.4812705,97.13783046,72754.81746,7228.178432,125.0071851,62.83068052
Z 298-8                            ,G  ,0.0141,~,17.5,~,~,~,17,0,E,00:10.6,+58:23:08,0.74,0.41,61.33216573,95.43135506,43059.80043,4182.088453,240.0441667,58.38555556
2MASX J10591991+7150403            ,G  ,0.023086,~,15.6,~,~,~,15,0,E,59:19.9,+71:50:40.513774252,0.3,0.27,99.32795744,235.3973425,28271.23313,6801.753082,164.8330081,71.84458716
MCG+11-11-026                      ,G  ,0.023176,~,15.4,~,~,~,11,0,E,43:53.0,+64:58:12.878688763,0.49,0.461,99.70430331,144.1208219,46351.30602,6827.816154,130.9708675,64.97024408
2MASX J08425777+6436467            ,G  ,0.039125,~,~,~,~,~,8,0,E,42:57.8,+64:36:46.356112926,0.367,0.315,165.111007,192.4228958,57490.23485,11393.54681,130.7406356,64.6128767
2MASX J08432094+6440338            ,G  ,0.03877,~,~,~,~,~,6,0,E,43:21.0,+64:40:34.110401211,0.36,0.252,163.6825792,196.1644521,55905.81111,11293.04412,130.8372922,64.67614178
MCG+11-11-028                      ,G  ,0.035957,~,16,~,~,~,10,0,E,46:01.1,+64:07:18.47,0.48,0.451,152.3201765,147.1233391,69366.64089,10494.88678,131.5045458,64.12179722
2MASX J07460548+4850520            ,G  ,0.03276,~,15.5,~,~,~,10,0,E,46:05.5,+48:50:52.646232344,0.377,0.339,139.3120935,187.3188402,49828.99881,9583.905978,116.5229827,48.84795729
UGC 3844                           ,G  ,0.010441,~,14.3,~,~,~,34,0,E,26:35.4,+43:17:46.797166585,0.79,0.632,45.61968139,89.39139588,34192.53747,3105.353065,111.6474841,43.29633255
2MASX J15514106+4922421            ,G  ,0.03464,~,~,~,~,~,8,0,E,51:41.0,+49:22:42.262305564,0.22,0.189,146.9737522,320.9963761,30677.1108,10120.11039,237.9208899,49.3784062
2MASX J11205745+6622533            ,G  ,0.05469,~,~,~,~,~,6,0,E,20:57.4,+66:22:53.669531847,0.347,0.333,226.5484254,203.5135526,74583.45802,15751.73864,170.2392511,66.38157487
MCG+10-14-010                      ,G  ,0.03005,~,15.7,~,~,~,11,0,E,27:47.8,+59:08:08.483378802,0.393,0.299,128.2060687,179.6926278,47802.77692,8808.437641,141.9489564,59.13568983
2MASX J09151449+5812003            ,G  ,0.01092,~,15,~,~,~,10,0,E,15:14.5,+58:12:00.046532837,0.33,0.284,47.68463068,213.9975841,14929.46881,3246.644083,138.8102395,58.20001293
2MASX J14100367+5850267            ,G  ,0.0608,~,18,~,~,~,5,0,E,10:03.7,+58:50:26.814578482,0.143,0.143,250.0412024,493.8405786,33923.41837,17437.38525,212.515591,58.84078183
2MASX J08085880+4706389            ,G  ,0.21972,~,~,17.11,~,16.74,7,1,E,08:58.8,+47:06:39.00,0.187,0.131,755.3202182,377.6427954,134006.1435,57244.31676,122.245025,47.11083333
2MASX J15592559+4215488            ,G  ,0.060587,~,~,~,~,~,4,0,E,59:25.6,+42:15:48.417254683,0.343,0.275,249.2280288,205.8868885,81104.13466,17378.85439,239.856498,42.26344924
2MASX J14101058+5707596            ,G  ,0.05082,~,~,~,~,~,6,0,E,10:10.5,+57:07:59.255141916,0.33,0.271,211.4882707,213.9975841,66214.36499,14676.84182,212.5438221,57.13312643
2MASX J12363241+6029322            ,G  ,0.03808,~,~,~,~,~,7,0,E,36:32.4,+60:29:31.930376784,0.313,0.232,160.9026758,225.6204561,47781.47988,11097.55726,189.1349156,60.49220288
2MASX J08362307+4328240            ,G  ,0.06652,~,~,~,~,~,8,0,E,36:23.0,+43:28:24.627723615,0.337,0.283,271.7233752,209.5525304,86877.81582,19003.01504,129.0960106,43.4735077
2MASX J13254321+5213486            ,G  ,0.05633,~,~,~,~,~,4,0,E,25:43.2,+52:13:48.519429173,0.3,0.228,232.8881932,235.3973425,66285.83304,16205.54989,201.4301009,52.23014429
2MASX J09121944+4622586            ,G  ,0.04069,~,~,~,~,~,6,0,E,12:19.4,+46:22:59.061513831,0.317,0.253,171.3935172,222.7735102,51547.26717,11836.01136,138.0809549,46.38307264
MCG+09-19-049                      ,G  ,0.03353,~,14.9,~,~,~,14,0,E,21:57.0,+52:57:46.03,0.593,0.498,142.4543476,119.0880316,80146.09999,9803.695071,170.4876167,52.96278611
2MASX J12341649+4802035            ,G  ,0.04518,~,~,~,~,~,2,0,E,34:16.5,+48:02:03.536045546,0.26,0.244,189.2863921,271.6123182,46692.24265,13100.09142,188.5689278,48.03431557
IC 4492                            ,G  ,0.01376,~,15.6,~,~,~,12,0,E,42:33.9,+37:27:08.418534855,0.353,0.325,59.87806752,200.0543987,20053.69814,4082.284182,220.6410952,37.45233848
MCG+08-25-001                      ,G  ,0.02789,~,15.6,~,~,~,12,0,E,26:56.8,+44:49:15.92,0.393,0.37,119.3014192,179.6926278,44482.59888,8188.189977,201.7367125,44.82108889
MCG+08-23-011                      ,G  ,0.01923,~,16,~,~,~,6,0,E,20:59.5,+46:07:00.71,0.317,0.234,83.12569678,222.7735102,25000.37674,5681.867686,185.2479542,46.11686389
NGC 4001                           ,G  ,0,~,15,~,~,~,6,0,E,58:06.8,+47:20:05.441101301,0.373,0.261,0,189.3276213,0,0,179.5282738,47.33484475
2MASX J09025334+3554403            ,G  ,0.04329,~,~,~,~,~,6,0,E,02:53.4,+35:54:40.490318711,0.27,0.216,181.7783614,261.5526028,46564.82133,12568.95828,135.7223706,35.91124731
2E 707                             ,G  ,0.103892,~,~,~,~,~,8,0,E,03:59.6,-12:05:59.67,0.263,0.237,406.3025895,268.5140789,101381.1775,28953.65467,45.99830417,-12.09990833
2MASX J03022754-1102564            ,G  ,0.02941,~,16.34,~,15.03,~,11,0,E,02:27.6,-11:02:56.183496813,0.353,0.191,125.5725351,200.0543987,42055.36046,8624.861348,45.61491918,-11.04893986
LEDA 11380                         ,G  ,0.03309,~,~,~,~,~,5,0,E,00:37.2,-10:48:41,0.56,0.43,140.6594942,126.1057192,74732.42429,9678.130828,45.155,-10.81138889
2dFGRS TGS317Z103                  ,G  ,0.041562,~,16.133,~,14.809,~,9,0,E,04:49.1,-28:02:44.864839330,0.297,0.285,174.8837302,237.7750934,49278.54197,12082.12707,46.20477908,-28.04579579
2dFGRS TGS238Z025                  ,G  ,0.050412,~,16.417,~,15.194,~,4,0,E,05:35.9,-27:25:58.972722764,0.27,0.178,209.8923159,261.5526028,53766.56557,14563.18848,46.39975704,-27.43304798
2dFGRS TGS317Z139                  ,G  ,0.0206,~,16.573,~,15.815,~,3,0,E,03:23.4,-28:18:35.3,0.71,0.35,88.89969144,99.46366584,59883.97146,6080.47705,45.84733333,-28.30980556
2MASX J03170662-2248229            ,G  ,0.093216,~,17.05,~,15.66,~,3,0,E,17:06.7,-22:48:23.574974431,0.237,0.156,369.0748954,297.9713196,82987.91314,26158.43907,49.27778804,-22.8065486
2dFGRS TGS320Z081                  ,G  ,0.072737,~,15.608,~,14.224,~,8,0,E,14:40.5,-28:55:56.41,0.403,0.315,294.953883,175.2337537,112774.5639,20691.35445,48.66855417,-28.93233611
6dFGS gJ032208.0-273455            ,G  ,0.043226,~,15.154,~,13.983,~,9,0,E,22:08.0,-27:34:54.347546029,0.42,0.336,181.5235191,168.1409589,72332.61819,12550.94839,50.53322557,-27.58176321
2MASX J03152575-3131130            ,G  ,0.069338,~,15.99,~,~,~,10,0,E,15:25.8,-31:31:13.00,0.367,0.301,282.2961219,192.4228958,98293.0856,19769.99603,48.85731667,-31.52027778
2dFGRS TGS398Z174                  ,G  ,0.070044,~,16.324,~,14.915,~,5,0,E,12:35.7,-29:40:01.605942826,0.347,0.222,284.9337457,203.5135526,93804.86321,19961.70604,48.14883283,-29.66711276
2MASX J03201788-3109501            ,G  ,0.06816,~,16.03,~,~,~,6,0,E,20:17.9,-31:09:50.19,0.37,0.274,277.8851332,190.8627101,97548.14814,19449.72248,50.0745375,-31.16394167
2dFGRS TGS471Z118                  ,G  ,0.0649,~,16.107,~,14.671,~,6,0,E,16:17.5,-31:55:39.671094063,0.337,0.29,265.6128694,209.5525304,84924.1105,18560.80649,49.07285068,-31.92768642
MCG+00-09-088                      ,G  ,0.026057,~,15.7,~,~,~,16,0,E,29:34.6,-01:32:27.915930987,0.42,0.37,111.7079949,168.1409589,44512.86414,7660.323854,52.394065,-1.541087759
2MASX J03333742-2247450            ,G  ,0.04558,~,16.26,~,~,~,4,0,E,33:37.4,-22:47:44.713827949,0.473,0.161,190.8709928,149.3006401,85655.06828,13212.32214,53.40591365,-22.79575384
2dFGRS TGS242Z140                  ,G  ,0.072737,~,15.953,~,14.699,~,9,0,E,22:58.2,-27:50:55.867319717,0.337,0.283,294.953883,209.5525304,94305.28051,20691.35445,50.74230893,-27.84885203
MCG-05-09-008                      ,G  ,0.0377,~,14.94,~,13.36,~,27,0,E,29:55.7,-28:46:03.787740828,1.62,0.389,159.3697256,43.59210046,244947.3988,10989.81669,52.48225551,-28.76771882
2dFGRS TGS400Z094                  ,G  ,0.045687,~,16.784,~,16.181,~,2,0,E,26:00.6,-29:33:24.21,0.15,0.15,191.2946135,470.794685,27223.62744,13242.33332,51.50241667,-29.556725
2MASX J03342649-2308062            ,G  ,0.04509,~,15.99,~,~,~,8,0,E,34:26.5,-23:08:06.24,0.43,0.232,188.9296454,164.2307041,77076.24658,13074.83093,53.61039583,-23.13506667
2MASX J03440628-2339470            ,G  ,0.10451,~,16.27,~,~,~,3,0,E,44:06.2,-23:39:47.208772490,0.23,0.193,408.4287697,307.0400119,89124.30468,29114.3536,56.02602719,-23.66311355
NGC 1403                           ,G  ,0.01425,~,13.86,~,12.62,~,39,0,E,39:10.8,-22:23:19.473655612,0.753,0.512,61.97329477,93.78380178,44274.2848,4226.103695,54.79517671,-22.38874268
6dFGS gJ034127.1-222822            ,G  ,0.007509,~,16.31,~,~,~,9,1,E,41:27.1,-22:28:22.07,0.237,0.156,32.92691734,297.9713196,7403.74431,2238.277553,55.3628375,-22.47279722
2MASX J03345367-2447268            ,G  ,0.00573,~,16.43,~,~,~,3,0,E,34:53.7,-24:47:26.990388337,0.19,0.148,25.18088179,371.6800144,4539.170831,1710.303351,53.72355068,-24.79083066
2MASX J03370021-2358580            ,G  ,0.0555,~,16.13,~,~,~,5,0,E,37:00.2,-23:58:58.269553382,0.367,0.213,229.6827867,192.4228958,79973.5741,15976.00292,54.25091271,-23.98285265
2MASX J03405688-2402461            ,G  ,0.060313,~,16.51,~,15.32,~,3,0,E,40:56.9,-24:02:46.229526703,0.26,0.182,248.1813609,271.6123182,61220.16588,17303.53667,55.23719938,-24.04617487
6dFGS gJ033605.0-255903            ,G  ,0.00503,~,16.38,~,~,~,3,0,E,36:05.0,-25:59:02.94,0.187,0.138,22.12368033,377.6427954,3925.10224,1502.165775,54.0207875,-25.98415
2MASX J03423711-2634236            ,G  ,0.06699,~,16.15,~,~,~,7,0,E,42:37.1,-26:34:23.64,0.323,0.259,273.4917278,218.6353026,83810.55367,19131.13339,55.65465417,-26.57323333
2MASX J03372260-3302350            ,G  ,0.039826,~,~,~,~,~,8,1,E,37:22.6,-33:02:35.07,0.153,0.153,167.9280386,461.5634166,24376.23559,11591.85709,54.34417083,-33.043075
MCG-03-10-046                      ,G  ,0.022589,~,15.11,~,~,~,14,0,E,47:48.9,-20:02:32.711082910,0.53,0.339,97.24820243,133.2437788,48900.0659,6657.765384,56.95372408,-20.04241975
2MASX J03483928-2529491            ,G  ,0.06964,~,16.2,~,~,~,6,0,E,48:39.3,-25:29:48.786024610,0.297,0.261,283.4249444,237.7750934,79863.16399,19852.02396,57.1636663,-25.49688501
2MASX J03510164-2555569            ,G  ,0.110583,~,15.67,~,~,~,8,0,E,51:01.6,-25:55:56.98,0.42,0.344,429.1572583,168.1409589,171008.5186,30687.20736,57.75687083,-25.93249444
2MASX J04053544-0455523            ,G  ,0.07541,~,~,~,~,16.45,7,0,E,05:35.4,-04:55:52.35,0.153,0.153,304.8358028,461.5634166,44249.60482,21413.06536,61.397675,-4.931208333
2MASX J04050308-3132592            ,G  ,0.05873,~,16.31,~,~,~,5,0,E,05:03.1,-31:32:58.965555183,0.297,0.243,242.1208284,237.7750934,68224.53634,16867.85692,61.26285196,-31.54971265
2MASX J04153905-1114443            ,G  ,0.13475,~,17.64,17.5,16.22,~,6,1,E,15:39.0,-11:14:44.877509452,0.233,0.117,508.7526186,303.0867071,112464.2706,36836.83474,63.912653,-11.24579931
ESO 550-8                          ,G  ,0.00537,~,14.7,~,13.85,~,15,0,E,07:36.3,-21:25:51.92,0.327,0.222,23.60926375,215.9608647,7324.570931,1603.288791,61.90144167,-21.43108889
2MASX J04162944-2503298            ,G  ,0.04192,~,15.7,~,~,~,8,0,E,16:29.5,-25:03:29.926379935,0.3,0.246,176.3145039,235.3973425,50183.53918,12183.08317,64.12282019,-25.05831288
2MASX J04094031-2954068            ,G  ,0.06068,~,16.06,~,~,~,5,0,E,09:40.3,-29:54:06.967293072,0.38,0.236,249.5831277,185.8400072,89980.99928,17404.41217,62.41804145,-29.90193536
2MASX J04134213-3107430            ,G  ,0.07077,~,16.3,~,~,~,6,0,E,13:42.1,-31:07:43.05,0.377,0.218,287.6414315,187.3188402,102883.2759,20158.66255,63.42556667,-31.128625
2MASX J04142066-3858579            ,G  ,0.049841,~,16.01,~,~,~,10,0,E,14:20.7,-38:58:57.93,0.39,0.273,207.6561179,181.0748788,76835.39533,14404.02291,63.58610833,-38.98275833
UGC 3021                           ,G  ,0.02081,~,17,~,~,~,11,0,E,21:52.1,+36:07:37.33,1.313,0.762,89.78304914,53.78461747,111843.5823,6141.506946,65.46696667,36.12703611
2MASX J04291367-1807216            ,G  ,0.02966,~,16.04,~,~,~,11,0,E,29:13.7,-18:07:21.624708418,0.39,0.25,126.6017475,181.0748788,46844.25107,8696.590918,67.30708337,-18.12267353
2MASX J04283087-1739233            ,G  ,0.03108,~,16.25,~,~,~,8,0,E,28:30.9,-17:39:23.32,0.36,0.331,132.4358071,196.1644521,45233.4711,9103.527107,67.12863333,-17.65647778
2MASX J04294308-1745462            ,G  ,0.03049,~,15.82,~,~,~,3,0,E,29:43.1,-17:45:46.23,0.283,0.232,130.0142446,249.5378189,34908.35347,8934.548576,67.4295125,-17.76284167
MCG-04-11-012                      ,G  ,0.014597,~,15.2,~,~,~,10,0,E,23:45.0,-23:04:57.741781794,0.48,0.365,63.45553764,147.1233391,28897.66538,4327.887992,65.93759113,-23.08270605
2MASX J04225437-2748275            ,G  ,0.07485,~,16.28,~,~,~,5,0,E,22:54.4,-27:48:27.54,0.33,0.231,302.7707571,213.9975841,94793.78385,21262.07173,65.72657083,-27.80765
